item_name,pic,price,real_sales,procity,item_id,item_url,style,applicable_age,fabric,season
小香风针织长袖上衣<span class=H>女装</span>秋冬装2023新款娃娃领内搭打底衫毛衣甜美,https://g-search3.alicdn.com/img/bao/uploaded/i4/i2/3068391740/O1CN013HWp501Oiy2bniVJc_!!3068391740.jpg,29.01,200+人付款,广东 广州,742971448315,https://item.taobao.com/item.htm?id=742971448315&ns=1&abbucket=0#detail,通勤,18-24周岁,锦纶,2023年冬季
特价版淘宝断码品牌<span class=H>女装</span>限时秒杀蕾丝打底衫2022秋冬新款大码长袖显瘦打底T恤保暖上衣,https://g-search3.alicdn.com/img/bao/uploaded/i4/i2/2214081431512/O1CN01naMsNk1N2XeQ9YAsa_!!2214081431512-0-tblite.jpg,43.80,200+人付款,广东 揭阳,694747217984,https://item.taobao.com/item.htm?id=694747217984&ns=1&abbucket=0,通勤,,,秋季
秋冬新款正肩韩版长袖t恤女加厚打底衫拼色插肩印花圆领保暖上衣,https://g-search3.alicdn.com/img/bao/uploaded/i4/i4/1988942959/O1CN01tV7yDO1XjGql0bzIv_!!1988942959.jpg,29.90,78人付款,广东 揭阳,745473357211,https://item.taobao.com/item.htm?id=745473357211&ns=1&abbucket=0#detail,通勤,18-24周岁,聚酯纤维,冬季
拉夏贝尔雪尼尔阔腿裤女春秋新款高腰冬季加绒针织窄版西装直筒裤,https://g-search2.alicdn.com/img/bao/uploaded/i4/i1/1969006077/O1CN01DNqy191ulJmHjPRY4_!!1969006077.jpg,129.00,1000+人付款,河南 郑州,742925303452,https://item.taobao.com/item.htm?id=742925303452&ns=1&abbucket=0#detail,通勤,18-24周岁,其他/other,2023年冬季
气质针织连衣裙女秋冬中长款毛衣设计感裙收腰显瘦小个子a字短裙,https://g-search3.alicdn.com/img/bao/uploaded/i4/i3/2211193585685/O1CN01hZsnBy1rrmWI87NSb_!!2211193585685.jpg,25.00,69人付款,广东 广州,742726366857,https://item.taobao.com/item.htm?id=742726366857&ns=1&abbucket=0#detail,通勤,,其他,2023年秋季
外贸出口尾单<span class=H>女装</span>剪标大牌短款毛呢外套2023秋冬新款气质呢子大衣,https://g-search2.alicdn.com/img/bao/uploaded/i4/i2/2210914993835/O1CN01AXjwlD1eCTnf2d7OP_!!2210914993835.jpg,19.00,100+人付款,浙江 杭州,744186055566,https://item.taobao.com/item.htm?id=744186055566&ns=1&abbucket=0#detail,,,,2023年冬季
清仓捡漏~专柜撤回尾单大牌外贸<span class=H>女装</span>春秋针织衫加厚毛衣开衫外套,https://g-search1.alicdn.com/img/bao/uploaded/i4/i3/2212866435007/O1CN01QMyTAo1mrFzPXJbcK_!!2212866435007.jpg,19.00,36人付款,浙江 杭州,744220829469,https://item.taobao.com/item.htm?id=744220829469&ns=1&abbucket=0#detail,,,,2023年秋季
白色花边领衬衫女早秋季2023新款内搭打底洋气衬衣小个子长袖上衣,https://g-search3.alicdn.com/img/bao/uploaded/i4/i3/719851228/O1CN01GVyrsl1KwT9gnijI8_!!719851228.jpg,28.50,1000+人付款,广东 广州,687238850017,https://item.taobao.com/item.htm?id=687238850017&ns=1&abbucket=0#detail,甜美,18-24周岁,,2023年秋季
大码黑色加绒加厚打底衫女秋冬季胖mm修身洋气内搭v领长袖针织衫,https://g-search3.alicdn.com/img/bao/uploaded/i4/i2/373790674/O1CN01shIxbs1GqjpQPJ2of_!!373790674.jpg,42.00,1000+人付款,广东 广州,740718842532,https://item.taobao.com/item.htm?id=740718842532&ns=1&abbucket=0#detail,通勤,18-24周岁,其他,2023年冬季
秋冬法式复古名媛设计感不规则荷叶边针织打底衫上衣高级感毛衣女,https://g-search2.alicdn.com/img/bao/uploaded/i4/i4/223860089/O1CN01nwKwuq1CWo35cxF5j_!!0-item_pic.jpg,37.65,800+人付款,广东 广州,694456568200,https://item.taobao.com/item.htm?id=694456568200&ns=1&abbucket=0#detail,通勤,,其他,2022年冬季
外贸一线大牌剪标<span class=H>女装</span>品牌专柜尾单余单春秋半高领毛衣针织打底衫,https://g-search1.alicdn.com/img/bao/uploaded/i4/i1/2213300394165/O1CN01sHzfmz1gdcUzsyrOC_!!2213300394165.jpg,23.00,91人付款,浙江 杭州,741944674651,https://item.taobao.com/item.htm?id=741944674651&ns=1&abbucket=0#detail,通勤,18-24周岁,其他,2023年秋季
胖妹妹大码<span class=H>女装</span>毛衣针织衫韩版秋冬新款正肩宽松显瘦休闲打底上衣,https://g-search2.alicdn.com/img/bao/uploaded/i4/i4/223860089/O1CN01pdr6FV1CWo2KKYkfg_!!0-item_pic.jpg,39.99,900+人付款,广东 广州,680618241462,https://item.taobao.com/item.htm?id=680618241462&ns=1&abbucket=0#detail,通勤,18-24周岁,其他,2022年秋季
秋季2023新款<span class=H>女装</span>纯棉内搭白色衬衫女日系小众长袖衬衣上衣外套秋,https://g-search1.alicdn.com/img/bao/uploaded/i4/i2/3068391740/O1CN01ffpMJa1Oiy25Hjb2F_!!3068391740.jpg,27.01,300+人付款,广东 广州,739701471539,https://item.taobao.com/item.htm?id=739701471539&ns=1&abbucket=0#detail,通勤,18-24周岁,,2023年冬季
加厚毛呢西装半身裙女秋冬季新款高腰显瘦开叉直筒长款包臀长裙子,https://g-search2.alicdn.com/img/bao/uploaded/i4/i4/929757742/O1CN015dhIRV273tEAgeZeu_!!929757742.jpg,54.00,1000+人付款,广东 广州,742985537907,https://item.taobao.com/item.htm?id=742985537907&ns=1&abbucket=0#detail,通勤,18-24周岁,呢子,2023年冬季
大码独特设计感别致开衫长袖上衣秋季新款胖mm遮肚子藏肉针织衫女,https://g-search3.alicdn.com/img/bao/uploaded/i4/i3/737200868/O1CN011wNS4t1IHaend5x0X_!!737200868.jpg,83.60,1000+人付款,广东 广州,736319351660,https://item.taobao.com/item.htm?id=736319351660&ns=1&abbucket=0#detail,通勤,,其他,2023年秋季
别致漂亮小衫2023早秋新款<span class=H>女装</span>内搭针织衫POLO领打底衫女紧身上衣,https://g-search2.alicdn.com/img/bao/uploaded/i4/i2/1741453808/O1CN01meD0281e075WhiiNG_!!1741453808.jpg,26.80,1000+人付款,广东 广州,735636847607,https://item.taobao.com/item.htm?id=735636847607&ns=1&abbucket=0#detail,通勤,18-24周岁,其他,2023年秋季
断码39元半高领羊毛背心女西装内搭外穿上衣坎肩无袖打底针织衫,https://g-search3.alicdn.com/img/bao/uploaded/i4/i4/480352542/O1CN01C1Sm2N1UeHg2x6lYD_!!480352542.jpg,899.00,600+人付款,山东 济南,739608067639,https://item.taobao.com/item.htm?id=739608067639&ns=1&abbucket=0#detail,通勤,,其他,2023年秋季
打底衫女小香风内搭2023新款秋冬v领针织衫软糯毛衣秋季长袖上衣,https://g-search1.alicdn.com/img/bao/uploaded/i4/i2/2639837995/O1CN01gbUBtR28vlRHOg9cI_!!2639837995.jpg,59.98,70人付款,广东 广州,746512762304,https://item.taobao.com/item.htm?id=746512762304&ns=1&abbucket=0#detail,通勤,18-24周岁,粘胶,2023年秋季
一线大牌剪标品牌折扣<span class=H>女装</span>专柜尾单清仓春秋针织开衫毛衣外套上衣,https://g-search3.alicdn.com/img/bao/uploaded/i4/i1/2208636561320/O1CN01MYPhpv1Lcbh6a0t5q_!!2208636561320.jpg,13.00,30人付款,浙江 杭州,743991509159,https://item.taobao.com/item.htm?id=743991509159&ns=1&abbucket=0#detail,,,,2023年秋季
白色半高领针织打底衫女2023新款春秋外穿蕾丝长袖上衣内搭毛衣冬,https://g-search1.alicdn.com/img/bao/uploaded/i4/i1/2212487806247/O1CN01WThi321w1B6zCytmr_!!2212487806247-0-picasso.jpg,39.80,100+人付款,广东 广州,743854769665,https://item.taobao.com/item.htm?id=743854769665&ns=1&abbucket=0#detail,通勤,18-24周岁,其他,2023年冬季
清仓捡漏专柜撤回折扣<span class=H>女装</span>双面羊绒羊毛呢外套中长款秋冬呢子大衣,https://g-search1.alicdn.com/img/bao/uploaded/i4/i2/2212854300188/O1CN01OrICze1DG9Lh5aBW0_!!2212854300188.jpg,20.00,80人付款,广东 广州,744580385725,https://item.taobao.com/item.htm?id=744580385725&ns=1&abbucket=0#detail,通勤,,,2023年冬季
清仓捡漏品牌折扣啄木鸟秋冬加绒加厚保暖卫衣女显瘦百搭连帽上衣,https://g-search3.alicdn.com/img/bao/uploaded/i4/i4/1899849940/O1CN017eiMSE2NIZlW2mLvb_!!1899849940.jpg,149.80,600+人付款,广东 揭阳,735958267516,https://item.taobao.com/item.htm?id=735958267516&ns=1&abbucket=0#detail,通勤,18-24周岁,棉布,2023年秋季
轻薄羽绒服女款2023年新款冬季短款中老年妈妈款白鸭绒冬装外套女,https://g-search3.alicdn.com/img/bao/uploaded/i4/i2/2215718973388/O1CN01jTTNSz1atkl8BuEbI_!!2215718973388.jpg,100.00,100+人付款,北京,745091561940,https://item.taobao.com/item.htm?id=745091561940&ns=1&abbucket=0#detail,通勤,,,2023年冬季
欧货2023秋季新款韩版时尚套装宽松长袖设计感卫衣牛仔宽松马甲女,https://img.alicdn.com/imgextra/i3/43601451/O1CN01xZH40W1MabZML9X74_!!0-saturn_solar.jpg,69.00,85人付款,辽宁 鞍山,734030040273,https://click.simba.taobao.com/cc_im?p=%C5%AE%D7%B0&s=390601468&k=921&e=BAn9Hu3MLefVwVPDgl5O0rVKk6GZQrk3%2FK80I4v2JZvHULOJLWc8%2B8mALKb6Iw%2BC1NQvIR%2FuxwVbg4r6mDkGzl5Q1FpFVTt84ZMqXtPC0UfJhQ3aHh72ZFqX1L8y6%2F7yHl%2FF8sff8H%2FUedR%2FBsifEDwRmUrgKVzMAjkA0dWlIISforOvn35mTJVqvShrEzUOUiHZ7drjHKwF2H%2B6iJbFAdwAHMC2Qs4BZa55WDRE8bG3TxFoQY2uExroXxfoOYe1XXkFk30UeKYuKK9sxo1L6M6bsLwUX8yTNPEWnnfBuphNAePEotX7xcZYYaLv811XeW5ecKOfj6hX8fE1CKfsY3cgFmMJMLZzxJWgely4mJuu1gkoBKeb%2ByPNGbM%2FPrX1lir58yEBBOqsVOMmk3HLxZIsaEXa9eHtbjQ52NG9D4RFuKqy4b8BRbfzYoM%2FAGa8eLYNcl5TZ62%2B5wKl6xqnsnJ4STW00Wn4O3KdJzbODdoN9Bgtd%2BVFQb07I%2B%2FUJ7VUKii44h7ucIHYcO00z%2F3GlwO4SMLuEIpP6KsryDKC8AtXrJazBEXrEytIE9u4dIHJni6GEn%2BK1bKk0pT3s%2Fhi9bcA3USznMsLyzGiNHDpI3Axx4tahy3FLOAVJP7%2FEVgSe8nElDjYk4EKkoqPdYmogK03D5UIjmOMfG%2BeTopBWChMQS7RGAnbLq6OPYOq%2B7KERVpFaDAleep3dRLK1yw7TjQu6crN6lgJk5Moczcrh3Zmhmicef9DrtEDdZNrwWE%2B1upgu6x%2FV8lNAePEotX7xSA98V2auU0u5VaX%2BzdD1IeqMW6f7BreDcPnPn8ok5D%2BYbUGF3KXa8REhXPbgkq9C08IKw63%2BOTk7ucZkWiapocZd98C8ojpivpfSh8Gf3bZjwnj76pPMqE2vY2z6%2BoxKg%3D%3D#detail,,,,2023年秋季
大码<span class=H>女装</span>方领拼色打底针织衫女秋冬胖mm宽松遮肚显瘦长袖T恤上衣,https://g-search3.alicdn.com/img/bao/uploaded/i4/i1/737200868/O1CN01cxkiX11IHafjXHQ9d_!!737200868.jpg,79.60,700+人付款,广东 广州,743055838480,https://item.taobao.com/item.htm?id=743055838480&ns=1&abbucket=0#detail,通勤,,其他/other,秋季
灯芯绒女士短外套春秋季2023年新款中年妈妈纯棉连帽休闲宽松夹克,https://g-search2.alicdn.com/img/bao/uploaded/i4/i1/2216657545389/O1CN01UHvcrL1pgDHqrfnLv_!!2216657545389.jpg,55.00,90人付款,北京,744222971225,https://item.taobao.com/item.htm?id=744222971225&ns=1&abbucket=0#detail,,,,2023年秋季
纯欲风半高领针织衫女秋季红色内搭毛衣辣妹修身显瘦短款打底上衣,https://g-search2.alicdn.com/img/bao/uploaded/i4/i3/3284604058/O1CN01zBOq5D1fqc6qcCoOg_!!3284604058.jpg,23.00,400+人付款,广东 广州,736365460325,https://item.taobao.com/item.htm?id=736365460325&ns=1&abbucket=0#detail,通勤,18-24周岁,其他,2023年秋季
拉夏贝尔加绒直筒牛仔裤女秋冬新款高腰显瘦小个子窄版加厚烟管裤,https://g-search1.alicdn.com/img/bao/uploaded/i4/i3/115928629/O1CN011ImzEa2Dc8XfOaaUE_!!115928629.jpg,119.00,100+人付款,河南 郑州,744774650702,https://item.taobao.com/item.htm?id=744774650702&ns=1&abbucket=0#detail,,18-24周岁,牛仔布,冬季
清仓捡漏专柜商场撤回尾单<span class=H>女装</span>加绒加厚卫衣立领开衫女秋冬外套衫,https://g-search3.alicdn.com/img/bao/uploaded/i4/i1/2216631717446/O1CN01hIwr2h24sJzVqqEoq_!!2216631717446.jpg,23.00,61人付款,浙江 杭州,743646242383,https://item.taobao.com/item.htm?id=743646242383&ns=1&abbucket=0#detail,通勤,,,2023年秋季
针织打底衫女秋冬2023新款时尚洋气心机v领毛衣修身内搭长袖上衣,https://g-search3.alicdn.com/img/bao/uploaded/i4/i3/1118751933/O1CN01Fc8UTA1Q9MTXSGh2I_!!1118751933.jpg,27.00,1000+人付款,广东 广州,740081319454,https://item.taobao.com/item.htm?id=740081319454&ns=1&abbucket=0#detail,通勤,18-24周岁,聚酯纤维（涤纶）,2023年冬季
半高领洋气宽松毛衣<span class=H>女装</span>2023秋冬新款提花内搭冬季加厚针织打底衫,https://g-search3.alicdn.com/img/bao/uploaded/i4/i4/898845925/O1CN01Bx8uPu1tdhPfq6tdr_!!898845925.jpg,199.00,100+人付款,浙江 嘉兴,660990320211,https://item.taobao.com/item.htm?id=660990320211&ns=1&abbucket=0#detail,通勤,,其他/other,2023年秋季
清仓捡漏一线品牌专柜商场撤回剪标<span class=H>女装</span>秋冬毛衣外套针织开衫上衣,https://g-search3.alicdn.com/img/bao/uploaded/i4/i4/2212456188767/O1CN01lCdn6J2EdLCIeSYue_!!2212456188767.jpg,19.00,97人付款,浙江 杭州,744169685909,https://item.taobao.com/item.htm?id=744169685909&ns=1&abbucket=0#detail,通勤,,,秋冬
灰色连帽毛衣女秋冬2023年新款慵懒风宽松国潮字母针织衫外搭上衣,https://g-search3.alicdn.com/img/bao/uploaded/i4/i3/1914143091/O1CN01RxNcIo1Yhj7fO9274_!!1914143091.jpg,399.00,500+人付款,浙江 嘉兴,741976018188,https://item.taobao.com/item.htm?id=741976018188&ns=1&abbucket=0#detail,通勤,18-24周岁,其他/other,春秋冬
打底神器小屁帘下摆搭配卫衣内搭装饰冬季遮屁股叠穿半身裙女大码,https://g-search1.alicdn.com/img/bao/uploaded/i4/i3/2883690837/O1CN01eXhW3T1I3OOpNLwmP_!!2883690837.jpg,89.00,200+人付款,河北 石家庄,745430522283,https://item.taobao.com/item.htm?id=745430522283&ns=1&abbucket=0#detail,韩系风,18-24周岁,涤纶（聚酯纤维）,2023年秋季
长袖打底衫女秋冬2023新款半高领大衣内搭高级感紧身套头针织毛衣,https://g-search1.alicdn.com/img/bao/uploaded/i4/i2/688017899/O1CN01bR1Abr28DnOWlGfgk_!!688017899.jpg,19.00,8000+人付款,广东 广州,735375780811,https://item.taobao.com/item.htm?id=735375780811&ns=1&abbucket=0#detail,甜美,17周岁以下,其他,2023年秋季
春秋美式辣妹学院风学姐拼接长袖衬衫高腰包臀短裙裤纯欲两件套装,https://img.alicdn.com/imgextra/i3/127483081/O1CN01lfL5Tl1Yd93btwNig_!!0-saturn_solar.jpg,138.00,100+人付款,广东 佛山,683896327488,https://click.simba.taobao.com/cc_im?p=%C5%AE%D7%B0&s=88933447&k=941&e=8%2FbFGBxCmGHrWbxtOPoiYrUdaJg1%2FDkv1n0IXFgTzGSx1p9YKNc5u%2BdtAAtu%2Fezod0f6vupToj%2FHtH8bR%2FADh4elHBQ56zCoKnX1HdEwNWD0CakeZVjWQ9idyHQDkv1QN0GG9AV5JED1SdXbSIDEyYhl80qvk7j4UmWBDrKucnWhfG8bKOU5CgknEhCGRvCwrfGl6QFKGyelN0kcLkOnq0GFjb4uh4kkzpkMpWHrGE0nSpnq%2BAN75bguOiQys3cjZzzGUPtX16M0CMPB64IQwo9KHtt5ckF8uKyNlpNUFr1nBfH%2Fkj0qyPtueqBzXZ5%2BYZeo3YoCN2wOeQOfO%2BypF%2BE%2BXNXFXrOvvsN9HoAnKBcmkDVDGFXaHJO19i4QvfNt4XbX4dtoHqA29Z2suKsSuxAYvK5RNHZoMIjzQbDayl10sSwXPyN8ErI34GtrYnHFRRIs1IdYyZqiSBSHhLF3ZGkzge%2Bb6gZ1b0eBkp5zvjKie2BKQCGwrM%2FTrGbb4vczRtbfhUoKkfekmOChIAJeUt%2BneyOi0ZbnvF7DQ1HmbaOBpYlzBH00FbGR1wpl8LaGJysR9Lp023lqh2uzIQx1a8qqN24PTOb7c9xBaO0iWKHFY2YE4%2FTA%2FiZaOdqCwOM3jVrEcFPGZVUG8c8a6Cuca6h7cTr2kUPjR6QXW6LABYZ5lzsXfoJTt%2BJ5xetwFIouMBUaWuFm4Kj%2B9j63j9DPhor5%2FSAzKRqOLHGQIWPT%2BkFlVF49dHNTP7l33sA2yyulRBYs3gTgNywa87SL0s238MkV9jKLuiCIbemauZWaZu531adtlC1ypVCkINrR9JN5WqdbRkIz8O%2Bvm97cWfHva%2FxTnnKVKxzT1%2Fz8FZc2aMDTzjQs8fRPyiECzMTz91LuM7XCFQM%2FmebkJL2tPC1oCJP4ZxuAUdyq%2BejStRUmEpM%3D#detail,,18-25周岁,,2023年秋季
秋冬季微喇叭牛仔裤女加绒弹力高腰显瘦小个黑色开叉八九分阔腿裤,https://g-search1.alicdn.com/img/bao/uploaded/i4/i1/1630462896/O1CN01U4Smlk1XGPtR4lqf6_!!1630462896-0-picasso.jpg,44.90,800+人付款,广东 阳江,681080731218,https://item.taobao.com/item.htm?id=681080731218&ns=1&abbucket=0#detail,,,棉弹牛仔布,春秋
外贸出口<span class=H>女装</span>尾单剪标尾货意大利外单清仓秋冬针织打底衫宽松上衣,https://g-search1.alicdn.com/img/bao/uploaded/i4/i4/2213345182702/O1CN011cysyh1VpZ3ZcOpYb_!!2213345182702.jpg,21.00,68人付款,浙江 杭州,743357462319,https://item.taobao.com/item.htm?id=743357462319&ns=1&abbucket=0#detail,通勤,,其他,2023年秋季
清仓捡漏一线大牌专柜撤回剪标外贸<span class=H>女装</span>加厚显瘦中长款毛呢外套女,https://g-search3.alicdn.com/img/bao/uploaded/i4/i1/2214023159419/O1CN01dQVy8R2JRxQtIexhO_!!2214023159419.jpg,15.00,400+人付款,浙江 杭州,744501242696,https://item.taobao.com/item.htm?id=744501242696&ns=1&abbucket=0#detail,通勤,,,2023年秋季
清仓捡漏一线品牌专柜商场撤回剪标<span class=H>女装</span>秋装上衣女毛衣连帽卫衣,https://g-search3.alicdn.com/img/bao/uploaded/i4/i2/2216440581735/O1CN012dkKGq1Ogg45huJWL_!!2216440581735.jpg,20.00,41人付款,广东 广州,744556917719,https://item.taobao.com/item.htm?id=744556917719&ns=1&abbucket=0#detail,,,,2023年秋季
一线大牌剪标品牌折扣<span class=H>女装</span>专柜尾单清仓春秋针织开衫毛衣外套上衣,https://g-search3.alicdn.com/img/bao/uploaded/i4/i1/2210914993835/O1CN01XXvPTN1eCTnfaw4b3_!!2210914993835.jpg,13.00,90人付款,浙江 杭州,744186323031,https://item.taobao.com/item.htm?id=744186323031&ns=1&abbucket=0#detail,,,,2023年秋季
大码<span class=H>女装</span>黑色高腰a字半身裙2023新款秋冬胖mm遮肚子一步包臀短裙,https://g-search3.alicdn.com/img/bao/uploaded/i4/i1/1661411306/O1CN01pyk0nu1LWC93sPj9D_!!1661411306.jpg,133.80,700+人付款,广东 广州,741720282651,https://item.taobao.com/item.htm?id=741720282651&ns=1&abbucket=0#detail,通勤,,,2023年秋季
俞兆林清仓捡漏亏本特价处理~100%纯棉女士长袖卫衣秋款上衣女韩版宽松小个子短款打底衫春秋款,https://g-search3.alicdn.com/img/bao/uploaded/i4/i2/2215182457405/O1CN01lVIp4X24ZXkHCrdS1_!!2215182457405-0-tblite.jpg,43.80,300+人付款,广东 揭阳,739691401618,https://item.taobao.com/item.htm?id=739691401618&ns=1&abbucket=0,通勤,30-34周岁 35-39周岁 25-29周岁 18-24周岁 40-49周岁 17周岁以下,,春季 秋季
清仓捡漏专柜商场撤回尾单<span class=H>女装</span>加绒加厚卫衣立领开衫女秋冬外套衫,https://g-search3.alicdn.com/img/bao/uploaded/i4/i4/2212866435007/O1CN01wBTzXP1mrFzYF3rSA_!!2212866435007.jpg,15.00,600+人付款,浙江 杭州,744062584738,https://item.taobao.com/item.htm?id=744062584738&ns=1&abbucket=0#detail,通勤,,,2023年秋季
清仓捡漏一线品牌专柜商场撤回剪标<span class=H>女装</span>秋冬毛衣外套针织开衫上衣,https://g-search3.alicdn.com/img/bao/uploaded/i4/i4/2213218053401/O1CN01BlR2bt1azhuMhxrtv_!!2213218053401.jpg,10.00,200+人付款,广东 广州,744480279921,https://item.taobao.com/item.htm?id=744480279921&ns=1&abbucket=0#detail,通勤,25-29周岁,粘胶,2023年秋季
清仓捡漏专柜撤回外贸大牌尾单<span class=H>女装</span>马海毛中长款毛衣女软糯针织衫,https://g-search1.alicdn.com/img/bao/uploaded/i4/i1/2211193585685/O1CN01vUJX0O1rrmWM1oOws_!!2211193585685.jpg,15.00,66人付款,广东 广州,742580322771,https://item.taobao.com/item.htm?id=742580322771&ns=1&abbucket=0#detail,,,其他,2023年秋季
连帽卫衣女2023年新款秋季韩版宽松<span class=H>女装</span>短款毛衣春秋纯色针织上衣,https://g-search2.alicdn.com/img/bao/uploaded/i4/i3/2213345182702/O1CN01DRJGFM1VpZ3ajXFEz_!!2213345182702.jpg,20.00,96人付款,浙江 杭州,743357402421,https://item.taobao.com/item.htm?id=743357402421&ns=1&abbucket=0#detail,甜美,,其他,2023年秋季
一线品牌处理清仓**灯芯绒外套女 秋季新款 装春秋装宽松短款上衣,https://g-search2.alicdn.com/img/bao/uploaded/i4/i2/2216657545389/O1CN01rSue2O1pgDHiTr2aV_!!2216657545389.jpg,53.00,24人付款,北京,743869688814,https://item.taobao.com/item.htm?id=743869688814&ns=1&abbucket=0#detail,百搭,,,2022年秋季
大码<span class=H>女装</span>镂空彩虹拼接色条纹长袖t恤秋季设计感小众显瘦针织上衣,https://g-search3.alicdn.com/img/bao/uploaded/i4/i4/2543100702/O1CN01ROxo721H3YtspPE98_!!2543100702.jpg,140.00,900+人付款,广东 广州,730883376648,https://item.taobao.com/item.htm?id=730883376648&ns=1&abbucket=0#detail,通勤,,其他,2023年秋季
清仓捡漏专柜撤回大牌外贸<span class=H>女装</span>秋冬半高领假两件打底羊绒衫毛衣女,https://g-search3.alicdn.com/img/bao/uploaded/i4/i3/2216370996294/O1CN01bM8o9V1wMhjEbE4lV_!!2216370996294.jpg,20.00,38人付款,浙江 杭州,744724187879,https://item.taobao.com/item.htm?id=744724187879&ns=1&abbucket=0#detail,通勤,,其他,2023年秋季
